id,modify_timestamp,database_name,orig_id,orig_table,type,value1,value2,value3,value4,value5,date_value,client,env,create_timestamp,entry_timestamp,updated_timestamp
3076,2015-08-17 13:45:02.580000000,AHP_WAREHOUSE_UAT,3,dbo.config,ScmRevision,e83c4278ae2d7b658e76e8dcaad327bd2d4085f9,The build version (ie. 4791),,,,2015-08-17 13:45:02.580000000,AHP,UAT,2015-08-17 13:45:02.580000000,2015-08-22 10:55:46.320000000,2015-08-22 10:56:18.253000000
3077,2015-06-25 12:15:38.033000000,AHP_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.6.4-rc.5,Source control revision for core repository,6,,,2015-06-25 12:15:38.033000000,AHP,UAT,2015-06-25 12:15:38.033000000,2015-08-22 10:55:46.320000000,2015-08-22 10:56:18.253000000
3078,2015-02-19 16:39:39.090000000,FDLS_WAREHOUSE_UAT,3,dbo.config,ScmRevision,d737aa8759e18428914903505dd08ed74d9c75b1,The build version (ie. 4791),,,,2015-02-19 16:39:39.090000000,FDLS,UAT,2015-02-19 16:39:39.090000000,2015-08-22 10:55:46.507000000,2015-08-22 10:56:18.253000000
3079,2015-02-19 16:39:39.320000000,FDLS_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.5.2-rc.2,Source control revision for core repository,1,,,2015-02-19 16:39:39.320000000,FDLS,UAT,2015-02-19 16:39:39.320000000,2015-08-22 10:55:46.507000000,2015-08-22 10:56:18.253000000
3080,2015-08-08 13:47:41.327000000,FHN_WAREHOUSE_UAT,3,dbo.config,ScmRevision,cef409e0d8c419c078f49f65b4ade19c843282b7,The build version (ie. 4791),,,,2015-08-08 13:47:41.327000000,FHN,UAT,2015-08-08 13:47:41.327000000,2015-08-22 10:55:46.690000000,2015-08-22 10:56:18.253000000
3081,2015-07-01 16:21:56.547000000,FHN_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.6.4-rc.5,Source control revision for core repository,6,,,2015-07-01 16:21:56.547000000,FHN,UAT,2015-07-01 16:21:56.547000000,2015-08-22 10:55:46.690000000,2015-08-22 10:56:18.253000000
3082,2015-08-14 16:06:24.213000000,UCF_WAREHOUSE_UAT,3,dbo.config,ScmRevision,9b56d4f8abbb87532f64aeab12f86e07594fe197,The build version (ie. 4791),,,,2015-08-14 16:06:24.213000000,UCF,UAT,2015-08-14 16:06:24.213000000,2015-08-22 10:55:46.940000000,2015-08-22 10:56:18.253000000
3083,2015-08-14 16:04:31.290000000,UCF_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.7.1,Source control revision for core repository,11,,,2015-08-14 16:04:31.290000000,UCF,UAT,2015-08-14 16:04:31.290000000,2015-08-22 10:55:46.940000000,2015-08-22 10:56:18.253000000
3084,2015-08-19 11:38:18.847000000,XCLS_WAREHOUSE_UAT,3,dbo.config,ScmRevision,ee6a4514ccac629d7eceb3b9a294872cf27e1006,The build version (ie. 4791),,,,2015-08-19 11:38:18.847000000,XCLS,UAT,2015-08-19 11:38:18.847000000,2015-08-22 10:55:47.107000000,2015-08-22 10:56:18.253000000
3085,2015-07-02 11:03:17.007000000,XCLS_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.6.4-rc.5,Source control revision for core repository,6,,,2015-07-02 11:03:17.007000000,XCLS,UAT,2015-07-02 11:03:17.007000000,2015-08-22 10:55:47.107000000,2015-08-22 10:56:18.253000000
