town,pop2010,b,k,mcd,p,t,we,Total,ff_per_pop,obese1,obese2,obese3,avg_obese,ff_per_cap_rank,obesity_rank,avg_ma_obese,per_cap_income
CHESTERFIELD,1222,0,0,0,0,0,0,0,0,0.27044025,0.141,0,0.205720125,0,310,0.244,31467
GOSHEN,1054,0,0,0,0,0,0,0,0,0.27044025,0.141,0,0.205720125,0,311,0.244,30670
GRANBY,6240,0,0,0,0,0,0,0,0,0.27044025,0.141,0,0.205720125,0,312,0.244,31002
HADLEY,5250,1,1,1,1,0,1,5,0.952380952380952,0.27044025,0.141,0,0.205720125,2,313,0.244,36471
EASTHAMPTON,16053,1,0,1,0,0,0,2,0.124587304553666,0.27044025,0.141,0,0.205720125,73,314,0.244,31021
BELCHERTOWN,14649,0,0,1,0,0,0,1,0.0682640453273261,0.27044025,0.141,0,0.205720125,123,315,0.244,32222
SOUTH HADLEY,17514,0,0,0,0,0,0,0,0,0.27044025,0.141,0,0.205720125,0,316,0.244,30664
WESTHAMPTON,1607,0,0,0,0,0,0,0,0,0.27044025,0.141,0,0.205720125,0,317,0.244,34464
LANCASTER,8055,0,0,0,0,0,0,0,0,0.27577536,0.219,0.1212,0.20532512,0,318,0.244,28082
WELLFLEET,2750,0,0,0,0,0,0,0,0,0.28409091,0.15,0.1806,0.20489697,0,319,0.244,39276
BOSTON,617594,23,8,27,1,4,7,70,0.113343070042779,0.25424011,0.1765,0.17920645,0.20331552,85,320,0.244,33964
WEST NEWBURY,4235,0,0,0,0,0,0,0,0,0.24896457,0.187,0.1681,0.201354857,0,321,0.244,53144
MANCHESTER,5136,0,0,0,0,0,0,0,0,0.24896457,0.187,0.1666,0.200854857,0,322,0.244,70075
WALTHAM,60632,2,1,2,0,0,1,6,0.0989576461274574,0.17278236,0.155,0.26746666,0.19841634,97,323,0.244,36864
SOMERVILLE,75754,1,1,2,0,1,0,5,0.0660031153470444,0.27027027,0.155,0.1655,0.196923423,126,324,0.244,34781
PELHAM,1321,0,0,0,0,0,0,0,0,0.27044025,0.1845,0.1346,0.196513417,0,325,0.244,50637
MEDFORD,56173,1,0,1,1,0,1,4,0.0712085877556833,0.27027027,0.155,0.163,0.19609009,120,326,0.244,35476
SUDBURY,17659,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1789,0.195937983,0,327,0.244,72744
MIDDLEFIELD,521,0,0,0,0,0,0,0,0,0.25,0.141,0,0.1955,0,328,0.244,34563
LINCOLN,6362,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1717,0.193537983,0,329,0.244,62061
AMHERST,37819,0,0,0,0,0,0,0,0,0.27044025,0.17,0.1346,0.191680083,0,330,0.244,19796
QUINCY,92271,3,1,2,1,1,2,10,0.108376412957484,0.27027027,0.154,0.14623333,0.190167867,90,331,0.244,33131
WAYLAND,12994,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1614,0.19010465,0,332,0.244,69109
MARBLEHEAD,19808,0,0,0,0,0,0,0,0,0.24896457,0.187,0.1327,0.189554857,0,333,0.244,58082
CONCORD,17668,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1543,0.187737983,0,334,0.244,68934
CAMBRIDGE,105162,4,2,2,0,1,1,10,0.114109659382667,0.27027027,0.15883333,0.13096666,0.186690087,84,335,0.244,47448
SHERBORN,4119,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1476,0.18550465,0,336,0.244,73420
ACTON,21924,1,0,1,0,0,0,2,0.0912242291552636,0.25391395,0.155,0.14245,0.183787983,103,337,0.244,53379
WATERTOWN,31915,1,0,0,0,0,0,1,0.031333228889237,0.17278236,0.155,0.2232,0.183660787,149,338,0.244,44732
NEEDHAM,28886,0,0,1,0,0,0,1,0.0346188465000346,0.17278236,0.154,0.2059,0.177560787,148,339,0.244,63117
CARLISLE,4852,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1226,0.177171317,0,340,0.244,77585
BOXBOROUGH,4996,0,0,0,0,0,0,0,0,0.25391395,0.155,0.1147,0.174537983,0,341,0.244,61461
NORTHAMPTON,28549,1,0,1,0,0,1,3,0.105082489754457,0.27044025,0.141,0.1111,0.174180083,92,342,0.244,34466
MALDEN,59450,1,1,2,0,0,0,4,0.0672834314550042,0.27027027,0.1665,0.0728,0.169856757,125,343,0.244,26642
NEWTON,85146,0,0,4,0,0,0,4,0.0469781316797031,0.17278236,0.15846153,0.15858461,0.163276167,140,344,0.244,63872
HAMILTON,7764,0,0,0,0,0,0,0,0,0.24896457,0.187,0.0535,0.163154857,0,345,0.244,44500
BROOKLINE,58732,0,0,1,0,0,0,1,0.0170264932234557,0.17278236,0.16442857,0.13944285,0.158884593,151,346,0.244,65340
BELMONT,24729,0,0,0,0,0,0,0,0,0.17278236,0.155,0.1466,0.158127453,0,347,0.244,56850
ARLINGTON,42844,0,0,0,0,0,0,0,0,0.17278236,0.155,0.1459,0.15789412,0,348,0.244,49549
WELLESLEY,27982,0,0,0,0,0,0,0,0,0.17278236,0.154,0.1423,0.156360787,0,349,0.244,72046
LEXINGTON,31394,0,0,2,0,0,0,2,0.0637064407211569,0.17278236,0.155,0.13485,0.154210787,127,350,0.244,69959
WESTON,11261,0,0,0,0,0,0,0,0,0.17278236,0.155,0.1182,0.148660787,0,351,0.244,105217
