town,pop2010,b,k,mcd,p,t,we,Total,ff_per_pop,obese1,obese2,obese3,avg_obese,ff_per_cap_rank,obesity_rank,avg_ma_obese,per_cap_income
HOLDEN,17346,0,0,1,0,0,0,1,0.057650178715554,0.27577536,0.219,0,0.24738768,135,142,0.244,40800
SPENCER,11688,0,0,1,0,0,0,1,0.0855578370978782,0.27577536,0.219,0,0.24738768,111,143,0.244,28983
OXFORD,13709,0,0,1,0,0,0,1,0.0729447808009337,0.27577536,0.219,0,0.24738768,119,144,0.244,29646
AUBURN,16188,2,1,2,0,0,1,6,0.370644922164566,0.27577536,0.219,0,0.24738768,8,145,0.244,34624
STURBRIDGE,9268,1,0,1,0,0,1,3,0.323694432455762,0.27577536,0.219,0,0.24738768,9,146,0.244,36709
WEBSTER,16767,1,1,1,0,0,0,3,0.178922884236894,0.27577536,0.219,0,0.24738768,42,147,0.244,26411
WEST BOYLSTON,7669,0,0,1,0,0,0,1,0.130395097144347,0.27577536,0.219,0,0.24738768,66,148,0.244,30810
NORTHBRIDGE,15707,1,0,1,0,0,0,2,0.127331762908257,0.27577536,0.219,0,0.24738768,68,149,0.244,32055
EAST BROOKFIELD,2183,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,150,0.244,30172
LEICESTER,10970,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,151,0.244,30516
MILLBURY,13261,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,152,0.244,32361
MILLVILLE,3190,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,153,0.244,29546
NEW BRAINTREE,999,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,154,0.244,30961
NORTH BROOKFIELD,4680,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,155,0.244,27452
BROOKFIELD,3390,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,156,0.244,29391
DUDLEY,11390,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,157,0.244,28240
BOYLSTON,4355,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,158,0.244,53378
BERLIN,2866,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,159,0.244,44297
RUTLAND,7973,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,160,0.244,33229
WEST BROOKFIELD,3701,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,161,0.244,30454
PRINCETON,3413,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,162,0.244,42921
SUTTON,8963,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,163,0.244,42293
STERLING,7808,0,0,0,0,0,0,0,0,0.27577536,0.219,0,0.24738768,0,164,0.244,40536
HOLLAND,2481,0,0,0,0,0,0,0,0,0.27577536,0.217,0,0.24638768,0,165,0.244,32734
NORWOOD,28602,1,0,3,0,0,0,4,0.139850360114677,0.27791714,0.154,0.3042,0.24537238,61,166,0.244,37213
HARDWICK,2990,0,0,0,0,0,0,0,0,0.27044025,0.219,0,0.244720125,0,167,0.244,32935
OAKHAM,1902,0,0,0,0,0,0,0,0,0.27044025,0.219,0,0.244720125,0,168,0.244,32805
BARRE,5398,0,0,0,0,0,0,0,0,0.27044025,0.219,0,0.244720125,0,169,0.244,31754
WARREN,5135,0,0,0,0,0,0,0,0,0.27044025,0.219,0,0.244720125,0,170,0.244,27074
WAKEFIELD,24932,0,0,1,0,0,0,1,0.0401090967431413,0.35086038,0.155,0.2274,0.244420127,145,171,0.244,40111
AMESBURY,16283,1,0,1,0,0,0,2,0.122827488791992,0.24896457,0.187,0.2971,0.244354857,77,172,0.244,38659
BRIMFIELD,3609,0,0,0,0,0,0,0,0,0.27044025,0.218,0,0.244220125,0,173,0.244,36406
UXBRIDGE,13457,0,0,1,0,0,0,1,0.0743107676302296,0.27577536,0.219,0.2371,0.243958453,118,174,0.244,34910
