id,modify_timestamp,database_name,orig_id,orig_table,type,value1,value2,value3,value4,value5,date_value,client,env,create_timestamp,entry_timestamp,updated_timestamp
11090,2015-11-10 15:15:13.170000000,VCA Nightly Job PRD,,nightly job,previous run,Success,35 Update Warehouse DB Stats,0,20151029,46,2015-11-10 15:15:13.170000000,VCA,PRD,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11091,2015-11-10 15:15:13.170000000,VCA Nightly Job QA,,nightly job,last step,Success,46 Report job errors,1,20151110,46,2015-11-10 15:15:13.170000000,VCA,QA,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11092,2015-11-10 15:15:13.170000000,VCA Nightly Job QA,,nightly job,failed step,Failed,39 Trigger for Measure Processing Deleted Persons,1,20151110,46,2015-11-10 15:15:13.170000000,VCA,QA,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11093,2015-11-10 15:15:13.170000000,VCA Nightly Job UAT,,nightly job,previous run,Failed,46 Report job errors,0,20151027,46,2015-11-10 15:15:13.170000000,VCA,UAT,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11094,2015-11-10 15:15:13.170000000,XCLS Nightly Job DEV,,nightly job,failed,Cancelled,36 Measure Processing,1,20151110,46,2015-11-10 15:15:13.170000000,XCLS,DEV,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11095,2015-11-10 15:15:13.170000000,XCLS Nightly Job PRD,,nightly job,last step,Success,35 Update Warehouse DB Stats,1,20151110,46,2015-11-10 15:15:13.170000000,XCLS,PRD,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11096,2015-11-10 15:15:13.170000000,XCLS Nightly Job PRD,,nightly job,failed step,Failed,2 Informatica Load,1,20151110,46,2015-11-10 15:15:13.170000000,XCLS,PRD,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11097,2015-11-10 15:15:13.170000000,XCLS Nightly Job QA,,nightly job,failed,Cancelled,5 Patient/Enc Scrub,1,20151110,46,2015-11-10 15:15:13.170000000,XCLS,QA,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11098,2015-11-10 15:15:13.170000000,XCLS Nightly Job QA,,nightly job,failed step,Failed,2 Informatica Load,1,20151110,46,2015-11-10 15:15:13.170000000,XCLS,QA,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
11099,2015-11-10 15:15:13.170000000,XCLS Nightly Job UAT,,nightly job,failed,Failed,46 Report job errors,1,20151110,46,2015-11-10 15:15:13.170000000,XCLS,UAT,2015-11-10 15:15:13.170000000,2015-11-10 15:15:13.210000000,2015-11-10 15:15:13.210000000
