name,type,start_time,end_date,job_complete,run_days,run_hours,run_minutes,last_step_name,last_step_id,last_step_date,ENV,CLIENT,entry_timestamp,updated_timestamp
SLVTN Nightly Job UAT,job duration,2015-12-18 23:00:00.000,2015-12-19 09:55:05.000,1,0,10,55,Measure Processing,37,2015-12-19 02:01:10.000,UAT,SLVTN,2015-12-19 14:21:01.800,2015-12-19 14:21:01.800
UCF Nightly Job UAT,job duration,2015-12-19 02:00:00.000,2015-12-19 07:15:08.000,1,0,5,15,Report job errors,51,2015-12-19 07:15:08.000,UAT,UCF,2015-12-19 14:21:01.800,2015-12-19 14:21:01.800
UCF Nightly Job PRD,job duration,2015-12-19 02:00:00.000,2015-12-19 04:42:29.000,1,0,2,42,Report job errors,51,2015-12-19 04:42:29.000,PRD,UCF,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
AHP Nightly Job PRD,job duration,2015-12-19 01:00:00.000,,0,0,13,32,Deleted Person and Patient,42,2015-12-19 04:14:32.000,PRD,AHP,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
CHPW Nightly Job PRD,job duration,2015-12-19 00:00:00.000,2015-12-19 09:57:13.000,1,0,9,57,Check Cutoff Time,17,2015-12-19 09:57:12.000,PRD,CHPW,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
SLVTN Nightly Job PRD,job duration,2015-12-19 01:00:00.000,,0,0,13,32,Deleted Person and Patient,41,2015-12-19 09:17:39.000,PRD,SLVTN,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
XCLS Nightly Job PRD,job duration,2015-12-18 23:00:00.000,,0,0,15,32,Update Provider In Events,30,2015-12-19 01:19:17.000,PRD,XCLS,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
FHN Nightly Job PRD,job duration,2015-12-19 04:00:00.000,,0,0,10,32,Update Provider In Events,29,2015-12-19 10:34:46.000,PRD,FHN,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
LHCQF Nightly Job PRD,job duration,2015-12-19 04:00:00.000,2015-12-19 07:16:20.000,1,0,3,16,Report job errors,46,2015-12-19 07:16:20.000,PRD,LHCQF,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
VCA Nightly Job PRD,job duration,2015-12-19 04:00:00.000,2015-12-19 05:17:23.000,1,0,1,17,Report job errors,51,2015-12-19 05:17:23.000,PRD,VCA,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
CCCN Nightly Job PRD,job duration,2015-12-18 20:00:00.000,2015-12-19 09:32:05.000,1,0,13,32,Report job errors,47,2015-12-19 09:32:05.000,PRD,CCCN,2015-12-19 14:21:02.003,2015-12-19 14:21:02.003
XCLS Nightly Job DEV,job duration,2015-12-17 12:32:47.000,2015-12-19 09:38:49.000,1,1,21,6,Load Event,31,2015-12-17 22:58:18.000,DEV,XCLS,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
VCA Nightly Job DEV,job duration,2015-12-16 15:34:43.000,2015-12-18 11:45:07.000,1,1,20,11,Report job errors,50,2015-12-18 11:45:05.000,DEV,VCA,2015-12-19 14:20:59.930,2015-12-19 14:20:59.930
XCLS Nightly Job QA,job duration,2015-12-17 13:53:10.000,2015-12-19 05:44:56.000,1,1,15,51,Report job errors,52,2015-12-19 05:44:56.000,QA,XCLS,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
BIDCO Nightly Job PRD,job duration,2015-12-17 21:55:36.000,,0,1,16,37,,,,PRD,BIDCO,2015-12-19 14:21:01.497,2015-12-19 14:21:01.497
ACP Nightly Job DEV,job duration history,,,1,12/17/2015,0:00:21,119,Failed,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,2,12/17/2015,0:15:47,123008,Failed,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,3,12/16/2015,0:02:06,14210,Cancelled,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,4,12/16/2015,2:50:51,121127,Failed,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,5,12/15/2015,19:12:12,3338,Cancelled,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,6,12/15/2015,2:17:16,10238,Cancelled,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,7,12/14/2015,4:17:47,21549,Cancelled,,,DEV,ACP,,
ACP Nightly Job DEV,job duration history,,,8,12/4/2015,2:16:44,100701,Failed,,,DEV,ACP,,
AHP Nightly Job DEV,job duration history,,,1,12/13/2015,2:25:41,91204,Failed,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,2,12/10/2015,3:32:51,42050,Failed,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,3,12/9/2015,4:54:09,210605,Cancelled,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,4,11/25/2015,6:29:24,2605,Cancelled,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,5,11/25/2015,6:26:51,1055924,Failed,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,6,11/17/2015,6:15:25,773621,Failed,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,7,11/16/2015,7:01:19,2130,Cancelled,,,DEV,AHP,,
AHP Nightly Job DEV,job duration history,,,8,11/16/2015,8:18:24,44655,Failed,,,DEV,AHP,,
AHP Nightly Job UAT,job duration history,,,1,12/18/2015,5:16:49,62634,Failed,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,2,12/16/2015,13:25:06,93903,Success,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,3,12/15/2015,4:31:26,93955,Cancelled,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,4,12/15/2015,6:19:30,103141,Failed,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,5,12/12/2015,10:27:47,525410,Success,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,6,12/11/2015,13:56:36,102557,Success,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,7,12/10/2015,12:50:44,111524,Success,,,UAT,AHP,,
AHP Nightly Job UAT,job duration history,,,8,12/9/2015,23:02:59,115128,Failed,,,UAT,AHP,,
ARCAS Nightly Job QA,job duration history,,,1,12/19/2015,13:50:04,22505,Cancelled,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,2,12/12/2015,10:12:38,160608,Success,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,3,12/5/2015,9:17:35,133623,Success,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,4,11/28/2015,5:44:16,143120,Success,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,5,11/8/2015,8:24:09,12957,Failed,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,6,11/7/2015,6:13:36,273703,Failed,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,7,10/31/2015,20:37:58,41938,Failed,,,QA,ARCAS,,
ARCAS Nightly Job QA,job duration history,,,8,10/11/2015,0:01:09,261614,Failed,,,QA,ARCAS,,
BIDCO Nightly Job PRD,job duration history,,,1,12/20/2015,5:48:52,22334,Failed,,,PRD,BIDCO,,
BIDCO Nightly Job PRD,job duration history,,,2,12/19/2015,6:39:32,3709,Success,,,PRD,BIDCO,,
BIDCO Nightly Job PRD,job duration history,,,3,12/18/2015,2:55:03,51836,Failed,,,PRD,BIDCO,,
